No,Text,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4,Question5,Answer5,,,
1,"Soak the cracked wheat. Measure the cracked wheat into a small bowl and cover it with water. Set the wheat aside to soak for about 30 minutes. After soaking, transfer the cracked wheat to a fine-mesh sieve and rinse it with fresh water. Set the wheat aside to continue draining. Soaking the wheat will help to soften it, and reduce the cooking time.",How long should I soak the cracked wheat?,Measure the cracked wheat into a small bowl and cover it with water. Set the wheat aside to soak for about 30 minutes. ,What should I do after soaking the wheat?,"After soaking, transfer the cracked wheat to a fine-mesh sieve and rinse it with fresh water. Set the wheat aside to continue draining. ",Why should I soak the wheat?,"Soaking the wheat will help to soften it, and reduce the cooking time.",,,,,,,
2,"Brush and vacuum the pool while the pump is running. Take the opportunity to clear out the remaining debris while the pump circulates the treatments you added to the water. Use a net to scoop up leaves and other big debris at the bottom of the pool. Then, use a pool vacuum to sweep debris off the pool floor. Finish up with a pool brush to scrub the walls. Cleaning the pool now prepares it to receive shock treatment, creating the perfect water conditions for swimming. Any sediment you stir up will get filtered out through the pump. Pay extra attention to the pool accessories and recesses around them. Debris often settles there and can be hard to remove.",How to clean the pool?,"Take the opportunity to clear out the remaining debris while the pump circulates the treatments you added to the water. Use a net to scoop up leaves and other big debris at the bottom of the pool. Then, use a pool vacuum to sweep debris off the pool floor. Finish up with a pool brush to scrub the walls.",Why should I clean the pool?,"Cleaning the pool now prepares it to receive shock treatment, creating the perfect water conditions for swimming. ",Where is the hardest to clean in the pool?,Pay extra attention to the pool accessories and recesses around them. Debris often settles there and can be hard to remove.,,,,,,,
3,"Put the bottle cap-side-down into a mug or cup. This will help keep the bottle steady while you fill it. If you don't have a cup or mug, then you can place the bottle down on a table. You will need to hold it steady with one hand.",How to keep the bottle steady?,Put the bottle cap-side-down into a mug or cup. This will help keep the bottle steady while you fill it.,What can I use other than cup and mug?,"If you don't have a cup or mug, then you can place the bottle down on a table. You will need to hold it steady with one hand.",Can I use other kind of bottle?,"If you don't have a cup or mug, then you can place the bottle down on a table. You will need to hold it steady with one hand.",,,,,,,
4,"Bring the mixture to a boil, then simmer it for 20 minutes over low heat. Keep the skillet covered while it is simmering. Check the skillet occasionally, and give the chili a stir to prevent the sauce from scorching. If the chili starts to dry, add a few tablespoons of water.",How long should I cook?,"Bring the mixture to a boil, then simmer it for 20 minutes over low heat.",How to cook the chili?,"Keep the skillet covered while it is simmering. Check the skillet occasionally, and give the chili a stir to prevent the sauce from scorching.",What should I do if my chili became dry?,"If the chili starts to dry, add a few tablespoons of water.",,,,,,,
5,"Watch your cactus for signs of shriveling when the soil is too dry. Monitoring changes in your cactus’ appearance can also help you figure out when to water the soil. If your cactus starts to shrink, then it most likely needs more water. Its skin will begin to crinkle up, leaving your cactus looking small and wrinkly. Give it a drink of water and see if it recovers.Note that shriveling can be caused by other problems, such as the roots becoming tangled and unable to absorb water. If the soil feels moist, then check for diseases, insects, changes to the environment, and other problems.",How to tell if my cactus need water?,"Monitoring changes in your cactus’ appearance can also help you figure out when to water the soil. If your cactus starts to shrink, then it most likely needs more water. Its skin will begin to crinkle up, leaving your cactus looking small and wrinkly. Give it a drink of water and see if it recovers.",What if shriveling is not solved by moist the soil?,"Note that shriveling can be caused by other problems, such as the roots becoming tangled and unable to absorb water. ",What if the soil is too wet?,"If the soil feels moist, then check for diseases, insects, changes to the environment, and other problems.",,,,,,,
6,"Add the rest of the nuts and the seat salt. After the chocolate is spread over the baking sheet, sprinkle the remaining ? cup (22 g) of coarsely chopped hazelnuts over the bark. Add some flaky sea salt to taste as well. You can omit the sea salt if you prefer.",How many hazelnets can I add?,"After the chocolate is spread over the baking sheet, sprinkle the remaining ? cup (22 g) of coarsely chopped hazelnuts over the bark.",How to add some flavor to the chocolate?,Add some flaky sea salt to taste as well. You can omit the sea salt if you prefer.,How much salt do I need?,[No Answer],,,,,,,
7,"Bury fresh, unroasted peanuts in loose, well-drained soil. Use a hoe or rake to turn over the soil before planting, so that you don’t have to force the peanut into the soil. Plant each peanut about 2 inches (5.1 cm) deep. Place each of the peanuts about 8 inches (20 cm) apart from one another in a row. If the soil is tightly packed, add a combination of aged compost and sand to loosen the soil up. Sand and compost can be purchased at a local hardware store. If you’d rather start with a more mature plant, purchase a peanut bush from a local plant nursery. Be sure to still plant the peanut bush in moist soil.",How to prepare the soil?,"Use a hoe or rake to turn over the soil before planting, so that you don’t have to force the peanut into the soil.",How many peanut should I plant in my field?,Plant each peanut about 2 inches (5.1 cm) deep. Place each of the peanuts about 8 inches (20 cm) apart from one another in a row.,Where can I buy peanut seeds and soil?,"Sand and compost can be purchased at a local hardware store. If you’d rather start with a more mature plant, purchase a peanut bush from a local plant nursery. ",,,,,,,
8,"Ask the seller for a vehicle history report. If you’re buying the car from an online dealership, request that they provide a detailed summary of the car’s past, including repair documents or police reports, in the form of a vehicle history report. Read the report thoroughly to make sure there aren’t any existing problems, like previous damage or insurance claims. The 2 most common vehicle history reports are CarFax and AutoCheck.Tip: If you’re buying the car from an individual who doesn’t have a history report, check the vehicle’s history yourself. Ask the seller for the 17-digit Vehicle Identification Number (VIN) and purchase a report, which usually costs about $35.",Where can I get the vehicle history report?,"If you’re buying the car from an online dealership, request that they provide a detailed summary of the car’s past, including repair documents or police reports, in the form of a vehicle history report.",Where can I request the report?,The 2 most common vehicle history reports are CarFax and AutoCheck.,How much would report requesting cost?,"If you’re buying the car from an individual who doesn’t have a history report, check the vehicle’s history yourself. Ask the seller for the 17-digit Vehicle Identification Number (VIN) and purchase a report, which usually costs about $35.",,,,,,,
9,"Turn off the pump on the pool filter. Make sure that the filter pump won't be able to turn back on while you are working on it. Locate the switch for the pool filter and turn it off. This will stop water from entering the system while you clean it, as well as cutting power to the area while dealing with water. The switch for your pool filter should be nearby the filter itself. For extra safety, or if you cannot find the right switch, cut power to the area from your circuit breaker box before you begin working.",Where can I turn off the filter pump?,Make sure that the filter pump won't be able to turn back on while you are working on it. Locate the switch for the pool filter and turn it off. ,How to make it safer?,"For extra safety, or if you cannot find the right switch, cut power to the area from your circuit breaker box before you begin working.",Why would I want to turn off the filter pump?,"This will stop water from entering the system while you clean it, as well as cutting power to the area while dealing with water.",,,,,,,
10,"Stir the gravy into the mixture. Make sure you stir it well, you want the mixture to fully incorporate itself into the gravy. Otherwise you risk your gravy tasting a little strange. Keep stirring until the gravy thickens – that’s how you’ll know the mixture is incorporated. If the gravy still isn’t thick enough to your liking you can always repeat the process with another roux.",Why shoud I stir the gravy?,"Make sure you stir it well, you want the mixture to fully incorporate itself into the gravy. Otherwise you risk your gravy tasting a little strange.",How long should I stir the gravy?,Keep stirring until the gravy thickens – that’s how you’ll know the mixture is incorporated.,What if my gravy is still so thin?,If the gravy still isn’t thick enough to your liking you can always repeat the process with another roux.,,,,,,,
11,"Check the chinch bug population. Before you begin, get an idea of how bad the problem is, and whether chinch bugs are the ones responsible. Cut the base off a coffee can and push it two inches (5 cm) into the turf. Pour in soapy water until it stays filled. Repeat in several areas of your lawn, especially at the border of yellow patches. Return after ten minutes and count chinch bugs floating on the surface: 5+ chinch bugs per can: a serious infestation. Continue to the next step for treatment. 2–4 chinch bugs per can: low-level infestation. Improve lawn health and test again later. Treat immediately if your lawn is in poor health. 0–1 chinch bug per can: no treatment necessary. If your lawn is in poor health, there is probably another cause. Alternatively, you might also take a close look at the lawn with a magnifying glass.",How to check situation?,"Before you begin, get an idea of how bad the problem is, and whether chinch bugs are the ones responsible. Cut the base off a coffee can and push it two inches (5 cm) into the turf. Pour in soapy water until it stays filled. Repeat in several areas of your lawn, especially at the border of yellow patches. ",What is the standard of testing how bad the problem is?,Return after ten minutes and count chinch bugs floating on the surface: 5+ chinch bugs per can: a serious infestation. Continue to the next step for treatment. 2–4 chinch bugs per can: low-level infestation. Improve lawn health and test again later. Treat immediately if your lawn is in poor health. 0–1 chinch bug per can: no treatment necessary.,What if there are not many bugs after testing?,"If your lawn is in poor health, there is probably another cause. Alternatively, you might also take a close look at the lawn with a magnifying glass.",,,,,,,
